;;Parameter[#];;;;UnitName.Status.Parameter[#];Descriptor
;;;ID;;;UnitName.Status.Parameter[#].ID;Int (32bit)
;;;Name;;;UnitName.Status.Parameter[#].Name;String
;;;Unit;;;UnitName.Status.Parameter[#].Unit;String
;;;Value;;;UnitName.Status.Parameter[#].Value;Real
;;Product[#];;;;UnitName.Status.Product[#];Product
;;;ProductID;;;UnitName.Status.Product[#].ID;Int (32bit)
;;;ProcessVariables[#];;;UnitName.Status.Product[#].ProcessVariables[#];Descriptor
;;;;;ID;UnitName.Status.Product[#].ProcessVariables[#].ID;Int (32bit)
;;;;;Name;UnitName.Status.Product[#].ProcessVariables[#].Name;String
;;;;;Unit;UnitName.Status.Product[#].ProcessVariables[#].Unit;String
;;;;;Value;UnitName.Status.Product[#].ProcessVariables[#].Value;Real
;;;Ingredients[#];;;UnitName.Status.Product[#].Ingredients;Ingredient
;;;;IngredientID;;UnitName.Status.Product[#].IngredientID;Int (32bit)
;;;;Parameters[#];;UnitName.Status.Product[#].Parameter[#];Descriptor
;;;;;ID;UnitName.Status.Product[#].Parameter[#].ID;Int (32bit)
;;;;;Name;UnitName.Status.Product[#].Parameter[#].Name;String
;;;;;Unit;UnitName.Status.Product[#].Parameter[#].Unit;String
;;;;;Value;UnitName.Status.Product[#].Parameter[#].Value;Real
;;;;;;;
;Admin;;;;;UnitName.Admin;PMLa
;;Parameter[#];;;;UnitName.Admin.Parameter[#];Descriptor
;;;ID;;;UnitName.Admin.Parameter[#].ID;Int (32bit)
;;;Name;;;UnitName.Admin.Parameter[#].Name;String
;;;Unit;;;UnitName.Admin.Parameter[#].Unit;String
;;;Value;;;UnitName.Admin.Parameter[#].Value;Real
;;Alarm[#];;;;UnitName.Admin.Alarm[#];Alarm
;;;ID;;;UnitName.Admin.Alarm[#].ID;Int (32bit)
;;;Value;;;UnitName.Admin.Alarm[#].Value;Int (32bit)
;;;Message;;;UnitName.Admin.Alarm[#].Message;String
;;;TimeEvent;;;UnitName.Admin.Alarm[#].TimeEvent;TimeStamp
;;;;AlmDate;;UnitName.Admin.Alarm[#].TimeEvent.AlmDate;Date
;;;;AlmTime;;UnitName.Admin.Alarm[#].TimeEvent.AlmTime;Time
;;;TimeAck;;;UnitName.Admin.Alarm[#].TimeAck;TimeStamp
;;;;AlmDate;;UnitName.Admin.Alarm[#].TimeAck.AlmDate;Date
;;;;AlmTime;;UnitName.Admin.Alarm[#].TimeAck.AlmTime;Time
;;AlarmExtent;;;;UnitName.Admin.AlarmExtent;Int (32bit)
;;ModeCurrentTime[#];;;;UnitName.Admin.ModeCurrentTime[#];Int (32bit)
;;ModeCumulativeTime[#];;;;UnitName.Admin.ModeCumulativeTime[#];Int (32bit)
;;StateCurentTime[#,#] (Mode, State);;;;UnitName.Admin.StateCurrentTime[#,#] (Mode, State);Int (32bit)
;;StateCumulativeTime[#,#] (Mode, State);;;;UnitName.Admin.StateCumulativeTime[#,#] (Mode, State);Int (32bit)
;;ProdConsumedCount[#];;;;UnitName.Admin.ProdConsumedCount[#];CntDescrip
;;;ID;;;UnitName.Admin.ProdConsumedCount[#].ID;Int (32bit)
;;;Name;;;UnitName.Admin.ProdConsumedCount[#].Name;String
;;;Unit;;;UnitName.Admin.ProdConsumedCount[#].Unit;String
;;;Count;;;UnitName.Admin.ProdConsumedCount[#].Count;Int (32bit)
;;;AccCount;;;UnitName.Admin.ProdConsumedCount[#].AccCount;Int (32bit)
;;ProdProcessedCount[#];;;;UnitName.Admin.ProdProcessedCount[#];CntDescrip
;;;ID;;;UnitName.Admin.ProdProcessedCount[#].ID;Int (32bit)
;;;Name;;;UnitName.Admin.ProdProcessedCount[#].Name;String
;;;Unit;;;UnitName.Admin.ProdProcessedCount[#].Unit;String
;;;Count;;;UnitName.Admin.ProdProcessedCount[#].Count;Int (32bit)
;;;AccCount;;;UnitName.Admin.ProdProcessedCount[#].AccCount;Int (32bit)
;;ProdDefectiveCount[#];;;;UnitName.Admin.ProdDefectiveCount[#];CntDescrip
;;;ID;;;UnitName.Admin.ProdDefectiveCount[#].ID;Int (32bit)
;;;Name;;;UnitName.Admin.ProdDefectiveCount[#].Name;String
;;;Unit;;;UnitName.Admin.ProdDefectiveCount[#].Unit;String
;;;Count;;;UnitName.Admin.ProdDefectiveCount[#].Count;Int (32bit)
;;;AccCount;;;UnitName.Admin.ProdDefectiveCount[#].AccCount;Int (32bit)
;;AccTimeSinceReset;;;;UnitName.Admin.AccTimeSinceReset;Int (32bit)
;;MachDesignSpeed;;;;UnitName.Admin.MachDesignSpeed;Real
;;AlarmHistory[#];;;;UnitName.Admin.AlarmHistory[#];Alarm
;;;ID;;;UnitName.Admin.AlarmHistory[#].ID;Int (32bit)
;;;Value;;;UnitName.Admin.AlarmHistory[#].Value;INt (32bit)
;;;Message;;;UnitName.Admin.AlarmHistory[#].Message;String
;;;TimeEvent;;;UnitName.Admin.AlarmHistory[#].TimeEvent;TimeStamp
;;;;AlmDate;;UnitName.Admin.AlarmHistory[#].TimeEvent.AlmDate;Date
;;;;AlmTime;;UnitName.Admin.AlarmHistory[#].TimeEvent.AlmTime;Tim
;;;TimeAck;;;UnitName.Admin.AlarmHistory[#].TimeAck;TimeStamp
;;;;AlmDate;;UnitName.Admin.AlarmHistory[#].TimeAck.AlmDate;Date
;;;;AlmTime;;UnitName.Admin.AlarmHistory[#].TimeAck.AlmTime;Tim
;;AlarmHistoryExtent;;;;UnitName.Admin.AlarmHistoryExtent;Int (32bit)
;;PACDateTime;;;;UnitName.Admin.PACDateTime;TimeStamp
;;;;;;UnitName.Admin.PACDateTime.Date;Date
;;;;;;UnitName.Admin.PACDateTime.Time;Time
;TestInt;;;;;UnitName.TestInt;Int (32bit) 
;TestInt1;;;;;UnitName.TestInt1;Int (32bit) 
